description,category
POS BookMyShow MUMBAI,Entertainment
Jio ONLINE PAYMENT,Utilities
Myntra ONLINE PAYMENT,Shopping
NEFT - Tata Sky,Utilities
POS Pharmeasy MUMBAI,Health & Fitness
POS Accenture MUMBAI,Salary
NEFT - Spotify,Entertainment
Tech Mahindra ONLINE PAYMENT,Salary
NEFT - Zomato,Food & Drink
UPI/Tech Mahindra/HDFC,Salary
NEFT - Dominos,Food & Drink
UPI/Water Bill/HDFC,Utilities
Apartment Maintenance ONLINE PAYMENT,Rent
UPI/LIC Premium/HDFC,Investment
POS House Rent MUMBAI,Rent
POS Apollo Pharmacy MUMBAI,Health & Fitness
NEFT - Steam,Entertainment
POS Tech Mahindra MUMBAI,Salary
POS Mutual Fund SIP MUMBAI,Investment
NEFT - Cult Fit,Health & Fitness
AUTO DEBIT MakeMyTrip,Travel
Steam ONLINE PAYMENT,Entertainment
POS Apartment Maintenance MUMBAI,Rent
AUTO DEBIT Salary TCS,Salary
Landlord Payment ONLINE PAYMENT,Rent
UPI/Accenture/HDFC,Salary
Mutual Fund SIP ONLINE PAYMENT,Investment
NEFT - Wipro Salary,Salary
UPI/Myntra/HDFC,Shopping
AUTO DEBIT Netflix,Entertainment
AUTO DEBIT Prime Video,Entertainment
Petrol Pump ONLINE PAYMENT,Travel
POS Myntra MUMBAI,Shopping
POS Cafe Coffee Day MUMBAI,Food & Drink
POS LIC Premium MUMBAI,Investment
NEFT - Electricity Bill,Utilities
NEFT - Uber,Travel
AUTO DEBIT Cafe Coffee Day,Food & Drink
Zerodha ONLINE PAYMENT,Investment
AUTO DEBIT House Rent,Rent
House Rent ONLINE PAYMENT,Rent
POS Dominos MUMBAI,Food & Drink
PVR Cinemas ONLINE PAYMENT,Entertainment
Apollo Pharmacy ONLINE PAYMENT,Health & Fitness
NEFT - Gas,Utilities
POS Indigo MUMBAI,Travel
Reliance Digital ONLINE PAYMENT,Shopping
UPI/Landlord Payment/HDFC,Rent
UPI/Cult Fit/HDFC,Health & Fitness
POS Gas MUMBAI,Utilities
AUTO DEBIT Metro Recharge,Travel
AUTO DEBIT Accenture,Salary
AUTO DEBIT Pharmeasy,Health & Fitness
POS Starbucks MUMBAI,Food & Drink
POS Tata Sky MUMBAI,Utilities
AUTO DEBIT McDonalds,Food & Drink
POS Zara MUMBAI,Shopping
Infosys Payroll ONLINE PAYMENT,Salary
Ola ONLINE PAYMENT,Travel
UPI/Wipro Salary/HDFC,Salary
NEFT - Tech Mahindra,Salary
UPI/Hostel Fee/HDFC,Rent
POS Wipro Salary MUMBAI,Salary
NEFT - Zara,Shopping
POS BigBasket MUMBAI,Shopping
NEFT - Broadband,Utilities
UPI/Broadband/HDFC,Utilities
POS Jio MUMBAI,Utilities
Starbucks ONLINE PAYMENT,Food & Drink
NEFT - IRCTC,Travel
UPI/IRCTC/HDFC,Travel
UPI/Apollo Pharmacy/HDFC,Health & Fitness
NEFT - Amazon,Shopping
UPI/Apartment Maintenance/HDFC,Rent
NEFT - Apartment Maintenance,Rent
UPI/DMart/HDFC,Shopping
UPI/Zara/HDFC,Shopping
NEFT - Starbucks,Food & Drink
NEFT - Hospital,Health & Fitness
UPI/Prime Video/HDFC,Entertainment
AUTO DEBIT Gym Membership,Health & Fitness
Indigo ONLINE PAYMENT,Travel
POS Ola MUMBAI,Travel
POS Electricity Bill MUMBAI,Utilities
NEFT - Salary TCS,Salary
Broadband ONLINE PAYMENT,Utilities
NEFT - Metro Recharge,Travel
Gym Membership ONLINE PAYMENT,Health & Fitness
UPI/Ola/HDFC,Travel
POS Cult Fit MUMBAI,Health & Fitness
UPI/Steam/HDFC,Entertainment
NEFT - Pharmeasy,Health & Fitness
NEFT - LIC Premium,Investment
McDonalds ONLINE PAYMENT,Food & Drink
NEFT - Accenture,Salary
NEFT - Airtel,Utilities
POS Swiggy MUMBAI,Food & Drink
POS Zerodha MUMBAI,Investment
Accenture ONLINE PAYMENT,Salary
AUTO DEBIT Zara,Shopping
NEFT - Groww,Investment
AUTO DEBIT Landlord Payment,Rent
POS Salary TCS MUMBAI,Salary
Water Bill ONLINE PAYMENT,Utilities
POS KFC MUMBAI,Food & Drink
UPI/Hospital/HDFC,Health & Fitness
AUTO DEBIT HDFC Securities,Investment
NEFT - Prime Video,Entertainment
AUTO DEBIT Myntra,Shopping
UPI/BigBasket/HDFC,Shopping
POS Netflix MUMBAI,Entertainment
UPI/Salary TCS/HDFC,Salary
AUTO DEBIT Water Bill,Utilities
UPI/Zomato/HDFC,Food & Drink
Cult Fit ONLINE PAYMENT,Health & Fitness
